engineer,prs_opened,prs_closed,pr_comments,prs_merged,issues_opened,issues_closed,prs_merged_norm,prs_closed_norm,issues_closed_norm,prs_opened_norm,issues_opened_norm,pr_comments_norm,impact_score,rank
sarahxsanders,11.0,11.0,25.0,11.0,1.0,0.0,0.059782608695652176,0.05116279069767442,0.0,0.04583333333333333,0.022222222222222223,0.026595744680851064,0.0427,96
joethreepwood,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0409,97
bill-ph,10.0,11.0,16.0,11.0,0.0,0.0,0.059782608695652176,0.05116279069767442,0.0,0.041666666666666664,0.0,0.01702127659574468,0.0396,98
k11kirky,11.0,11.0,17.0,10.0,0.0,0.0,0.05434782608695652,0.05116279069767442,0.0,0.04583333333333333,0.0,0.018085106382978722,0.0376,99
gewenyu99,9.0,11.0,34.0,9.0,0.0,0.0,0.04891304347826087,0.05116279069767442,0.0,0.0375,0.0,0.036170212765957444,0.0352,100
edwinyjlim,10.0,10.0,29.0,8.0,0.0,0.0,0.043478260869565216,0.046511627906976744,0.0,0.041666666666666664,0.0,0.030851063829787233,0.0323,101
jonathanlab,6.0,6.0,19.0,6.0,1.0,1.0,0.03260869565217391,0.027906976744186046,0.030303030303030304,0.025,0.022222222222222223,0.02021276595744681,0.0291,102
macobo,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0273,103
raquelmsmith,11.0,9.0,30.0,6.0,0.0,0.0,0.03260869565217391,0.04186046511627907,0.0,0.04583333333333333,0.0,0.031914893617021274,0.0271,104
z0br0wn,9.0,8.0,6.0,7.0,0.0,0.0,0.03804347826086957,0.037209302325581395,0.0,0.0375,0.0,0.006382978723404255,0.0268,105
harihran-del,32.0,10.0,23.0,2.0,0.0,0.0,0.010869565217391304,0.046511627906976744,0.0,0.13333333333333333,0.0,0.02446808510638298,0.0264,106
cvolzer3,7.0,6.0,18.0,6.0,0.0,0.0,0.03260869565217391,0.027906976744186046,0.0,0.029166666666666667,0.0,0.019148936170212766,0.0227,107
danielxnj,8.0,8.0,18.0,5.0,0.0,0.0,0.02717391304347826,0.037209302325581395,0.0,0.03333333333333333,0.0,0.019148936170212766,0.0221,108
abigailbramble,2.0,3.0,9.0,2.0,0.0,3.0,0.010869565217391304,0.013953488372093023,0.09090909090909091,0.008333333333333333,0.0,0.009574468085106383,0.0219,109
daniloc,6.0,6.0,11.0,4.0,0.0,1.0,0.021739130434782608,0.027906976744186046,0.030303030303030304,0.025,0.0,0.011702127659574468,0.0216,110
buildwithmalik,3.0,3.0,26.0,3.0,2.0,1.0,0.016304347826086956,0.013953488372093023,0.030303030303030304,0.0125,0.044444444444444446,0.027659574468085105,0.0211,111
chrisy19871987-ai,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.09090909090909091,0.0,0.06666666666666667,0.0,0.0203,112
patricio-posthog,8.0,6.0,8.0,5.0,0.0,0.0,0.02717391304347826,0.027906976744186046,0.0,0.03333333333333333,0.0,0.00851063829787234,0.0202,113
posthog[bot],2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.06060606060606061,0.008333333333333333,0.08888888888888889,0.0,0.0188,114
langesven,7.0,7.0,20.0,4.0,0.0,0.0,0.021739130434782608,0.03255813953488372,0.0,0.029166666666666667,0.0,0.02127659574468085,0.0186,115
marandaneto,2.0,2.0,4.0,2.0,3.0,1.0,0.010869565217391304,0.009302325581395349,0.030303030303030304,0.008333333333333333,0.06666666666666667,0.00425531914893617,0.0185,116
